"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Gly","2",2.92,3.62,0.05,58.4,211.3356,"TM",100,16,1,230.1234,0.918357715903728,0.25,250,NA,NA,229.589428975932,229.589428975932,0.2113356,"y",0.2301234,-2.81817e-05,22,6085415.94208765,-4.6310228040603e-12
1,"Gly","3",3.15,3.62,0.05,63,227.9876,"TM",1000,16,1,230.1234,0.990718892559383,0.25,250,NA,NA,247.679723139846,247.679723139846,0.2279876,"y",0.2301234,-3.20370000000003e-06,22,6085415.94208765,-5.26455386203392e-13
1,"Gly","4",3.21,3.62,0.05,64.2,232.2592,"TM",0,18,1,230.1234,1.00928110744062,0.25,250,NA,NA,252.320276860154,252.320276860154,0.2322592,"y",0.2301234,3.20369999999999e-06,24,7005915.22298741,4.5728500817255e-13
1,"Gly","5",3.52,3.62,0.05,70.3,254.5584,"TM",100,18,1,230.1234,1.10618216139689,0.25,250,NA,NA,276.545540349221,276.545540349221,0.2545584,"y",0.2301234,3.66525e-05,24,7005915.22298741,5.23165051722835e-12
1,"Gly","6",3.42,3.62,0.05,68.4,247.4632,"TM",1000,18,1,230.1234,1.07535000786535,0.25,250,NA,NA,268.837501966336,268.837501966336,0.2474632,"y",0.2301234,2.60097e-05,24,7005915.22298741,3.71253421889241e-12
1,"Gly","7",3.28,3.62,0.05,65.7,237.6892,"TM",0,20,1,230.1234,1.03287714330659,0.25,250,NA,NA,258.219285826648,258.219285826648,0.2376892,"y",0.2301234,1.13487e-05,26,8015331.07929134,1.41587414016133e-12
1,"Gly","8",3.75,3.62,0.05,74.9,271.2104,"TM",100,20,1,230.1234,1.17854333805254,0.25,250,NA,NA,294.635834513135,294.635834513135,0.2712104,"y",0.2301234,6.16305e-05,26,8015331.07929134,7.68907726834023e-12
1,"Gly","9",3.32,3.62,0.05,66.3,240.1508,"TM",1000,20,1,230.1234,1.04357401289917,0.25,250,NA,NA,260.893503224792,260.893503224792,0.2401508,"y",0.2301234,1.50411e-05,26,8015331.07929134,1.87654132452004e-12
1,"Gly","10",3.39,3.62,0.05,67.9,245.7256,"TM",0,22,1,230.1234,1.06779927638823,0.25,250,NA,NA,266.949819097058,266.949819097058,0.2457256,"y",0.2301234,2.34033e-05,28,9122357.54912758,2.56548812891446e-12
1,"Gly","11",3.24,3.62,0.05,64.9,234.8656,"TM",100,22,1,230.1234,1.02060720465628,0.25,250,NA,NA,255.151801164071,255.151801164071,0.2348656,"y",0.2301234,7.1133e-06,28,9122357.54912758,7.79765533382353e-13
1,"Gly","12",3.38,3.62,0.05,67.6,244.6396,"TM",1000,22,1,230.1234,1.06308006921504,0.25,250,NA,NA,265.77001730376,265.77001730376,0.2446396,"y",0.2301234,2.17743e-05,28,9122357.54912758,2.38691586936125e-12
1,"Gly","13",3.34,3.62,0.05,66.7,241.454,"TM",0,24,1,230.1234,1.049237061507,0.25,250,NA,NA,262.30926537675,262.30926537675,0.241454,"y",0.2301234,1.69959e-05,30,10336548.2777019,1.64425295015201e-12
1,"Gly","14",3.02,3.62,0.05,60.5,218.8652,"TM",100,24,1,230.1234,0.951077552304546,0.25,250,NA,NA,237.769388076137,237.769388076137,0.2188652,"y",0.2301234,-1.68873e-05,30,10336548.2777019,-1.63374654152484e-12
